"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group","site","kingdom"
1043416,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis fai",FALSE,2,127791,23,2021,"12S;COI",TRUE,TRUE,TRUE,"VU","VU","","fish","aldabra_atoll","Animalia"
1043417,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis hortlei",FALSE,NA,546,4,NA,"16S",FALSE,FALSE,TRUE,"NT","NT","","fish","aldabra_atoll","Animalia"
1043418,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pateobatis","Pateobatis jenkinsii",FALSE,5,NA,NA,NA,"",TRUE,TRUE,FALSE,"VU","VU","","fish","aldabra_atoll","Animalia"
712972,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Taeniurops","Taeniurops meyeni",FALSE,1,975,4,NA,"12S;16S",TRUE,TRUE,TRUE,"VU","VU","","fish","aldabra_atoll","Animalia"
217424,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Urogymnus","Urogymnus asperrimus",FALSE,NA,13308,7,NA,"12S;16S;COI",FALSE,FALSE,TRUE,"VU","VU","porcupine ray","fish","aldabra_atoll","Animalia"
220030,"Chordata","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Nebrius","Nebrius ferrugineus",FALSE,14,124451,26,2021,"12S;16S",TRUE,TRUE,TRUE,"VU","VU","tawny nurse shark, requin nourrice fauve","fish","aldabra_atoll","Animalia"
105899,"Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus","Centrophorus granulosus",FALSE,2,NA,NA,1801,"",TRUE,TRUE,FALSE,"EN","EN","gulper shark, squale-chagrin commun","fish","aldabra_atoll","Animalia"
217366,"Chordata","Elasmobranchii","Squaliformes","Squalidae","Cirrhigaleus","Cirrhigaleus asper",FALSE,2,NA,NA,1973,"",TRUE,TRUE,FALSE,"DD","DD","roughskin spurdog","fish","aldabra_atoll","Animalia"
217379,"Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","Torpedo fuscomaculata",FALSE,16,NA,NA,1967,"",TRUE,TRUE,FALSE,"DD","DD","blackspotted electric ray","fish","aldabra_atoll","Animalia"
219633,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus auranticavus",FALSE,4,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219639,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus blochii",FALSE,1,3367,11,NA,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","ringtail surgeonfish","fish","aldabra_atoll","Animalia"
219641,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus dussumieri",FALSE,26,6,1,2021,"COI",TRUE,TRUE,TRUE,"LC","LC","eyestripe surgeonfish","fish","aldabra_atoll","Animalia"
219636,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus gahhm",FALSE,1,NA,NA,1967,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219629,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucocheilus",FALSE,15,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219628,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus leucosternon",FALSE,109,43303,14,2021,"12S;COI",TRUE,TRUE,TRUE,"LC","LC","powder-blue surgeonfish","fish","aldabra_atoll","Animalia"
159582,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus lineatus",FALSE,11,34269,15,NA,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","lined surgeonfish","fish","aldabra_atoll","Animalia"
219651,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus mata",FALSE,1,50,1,1964,"COI",TRUE,FALSE,TRUE,"LC","LC","blue-lined surgeonfish","fish","aldabra_atoll","Animalia"
219626,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigricauda",FALSE,47,6,1,2021,"COI",TRUE,TRUE,TRUE,"LC","LC","epaulette surgeonfish","fish","aldabra_atoll","Animalia"
219640,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",FALSE,62,63111,22,1967,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","brown surgeonfish","fish","aldabra_atoll","Animalia"
219632,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus tennentii",FALSE,37,355,1,NA,"COI",TRUE,TRUE,TRUE,"LC","LC","","fish","aldabra_atoll","Animalia"
219646,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus thompsoni",FALSE,39,1788,3,2021,"12S",TRUE,TRUE,TRUE,"LC","LC","Thompson's surgeonfish","fish","aldabra_atoll","Animalia"
219630,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus",FALSE,18,121905,51,1967,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","convict surgeonfish","fish","aldabra_atoll","Animalia"
219634,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus",FALSE,18,15249,9,2021,"12S;COI",TRUE,TRUE,TRUE,"LC","LC","yellowfin surgeonfish","fish","aldabra_atoll","Animalia"
211787,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Apolemichthys","Apolemichthys trimaculatus",FALSE,48,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","threespot angelfish","fish","aldabra_atoll","Animalia"
211775,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge acanthops",FALSE,15,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","orangeback angelfish","fish","aldabra_atoll","Animalia"
278830,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge bispinosa",FALSE,2,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
211782,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge debelius",FALSE,2,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
211774,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Centropyge","Centropyge multispinis",FALSE,95,48,2,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","dusky angelfish","fish","aldabra_atoll","Animalia"
218730,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon auriga",FALSE,167,3059,4,2021,"16S;COI",TRUE,TRUE,TRUE,"LC","LC","threadfin butterflyfish","fish","aldabra_atoll","Animalia"
218735,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon bennetti",FALSE,43,NA,NA,2021,"",TRUE,TRUE,FALSE,"DD","DD","bluelashed butterflyfish","fish","aldabra_atoll","Animalia"
218744,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon citrinellus",FALSE,9,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218726,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon falcula",FALSE,52,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","blackwedged butterflyfish","fish","aldabra_atoll","Animalia"
218722,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon guttatissimus",FALSE,231,828,2,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","peppered butterflyfish","fish","aldabra_atoll","Animalia"
273344,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon interruptus",FALSE,50,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218738,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon kleinii",FALSE,198,2978,9,2021,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","sunburst butterflyfish","fish","aldabra_atoll","Animalia"
218734,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lineolatus",FALSE,21,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","lined butterflyfish","fish","aldabra_atoll","Animalia"
218733,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lunula",FALSE,135,4233,6,2021,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","raccoon butterflyfish","fish","aldabra_atoll","Animalia"
398549,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon lunulatus",FALSE,NA,711,1,NA,"12S",FALSE,FALSE,TRUE,"LC","LC","","fish","aldabra_atoll","Animalia"
218731,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon madagaskariensis",FALSE,56,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218743,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon melannotus",FALSE,51,559,1,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","blackback butterflyfish","fish","aldabra_atoll","Animalia"
273347,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon mertensii",FALSE,22,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218752,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon meyeri",FALSE,174,1990,4,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","scrawled butterflyfish","fish","aldabra_atoll","Animalia"
218723,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon mitratus",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","Indian butterflyfish","fish","aldabra_atoll","Animalia"
218725,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon oxycephalus",FALSE,2,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218719,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifascialis",FALSE,21,NA,NA,2021,"",TRUE,TRUE,FALSE,"NT","NT","chevron butterflyfish","fish","aldabra_atoll","Animalia"
218741,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon trifasciatus",FALSE,143,563,1,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","melon butterflyfish","fish","aldabra_atoll","Animalia"
218753,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon unimaculatus",FALSE,1,NA,NA,NA,"",TRUE,FALSE,FALSE,"LC","LC","teardrop butterflyfish","fish","aldabra_atoll","Animalia"
218754,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon vagabundus",FALSE,8,2598,5,1967,"12S",TRUE,TRUE,TRUE,"LC","LC","vagabond butterflyfish","fish","aldabra_atoll","Animalia"
218721,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon xanthocephalus",FALSE,64,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","yellowhead butterflyfish","fish","aldabra_atoll","Animalia"
273368,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Chaetodon","Chaetodon zanzibarensis",FALSE,8,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219655,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus",FALSE,59,1613,3,2021,"16S;COI",TRUE,TRUE,TRUE,"LC","LC","twospot surgeonfish","fish","aldabra_atoll","Animalia"
277560,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus flavicauda",FALSE,NA,1103,2,NA,"COI",FALSE,FALSE,TRUE,"LC","LC","","fish","aldabra_atoll","Animalia"
219659,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus striatus",FALSE,89,19175,11,2021,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","lined bristletooth","fish","aldabra_atoll","Animalia"
219658,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus strigosus",FALSE,12,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","spotted surgeonfish","fish","aldabra_atoll","Animalia"
277563,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Ctenochaetus","Ctenochaetus truncatus",FALSE,100,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218760,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger flavissimus",FALSE,152,1521,6,2021,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","forcepsfish","fish","aldabra_atoll","Animalia"
218759,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Forcipiger","Forcipiger longirostris",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","longnose butterflyfish","fish","aldabra_atoll","Animalia"
218762,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Hemitaurichthys","Hemitaurichthys zoster",FALSE,67,66,1,2021,"12S",TRUE,TRUE,TRUE,"LC","LC","brown-and-white butterflyfish","fish","aldabra_atoll","Animalia"
218765,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus acuminatus",FALSE,29,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","pennant coralfish","fish","aldabra_atoll","Animalia"
218763,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus diphreutes",FALSE,3,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","Pennantfish","fish","aldabra_atoll","Animalia"
218764,"Chordata","Teleostei","Acanthuriformes","Chaetodontidae","Heniochus","Heniochus monoceros",FALSE,43,461,1,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","masked bannerfish","fish","aldabra_atoll","Animalia"
219673,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso annulatus",FALSE,8,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","white margin unicornfish","fish","aldabra_atoll","Animalia"
219664,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brachycentron",FALSE,11,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","humpback unicornfish","fish","aldabra_atoll","Animalia"
219671,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso brevirostris",FALSE,47,83,2,2021,"COI",TRUE,TRUE,TRUE,"LC","LC","spotted unicornfish","fish","aldabra_atoll","Animalia"
278005,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso elegans",FALSE,50,6987,6,2021,"16S",TRUE,TRUE,TRUE,"LC","LC","","fish","aldabra_atoll","Animalia"
219667,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso hexacanthus",FALSE,6,137,1,NA,"16S",TRUE,TRUE,TRUE,"LC","LC","sleek unicornfish","fish","aldabra_atoll","Animalia"
219665,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso lituratus",FALSE,3,NA,NA,1967,"",TRUE,TRUE,FALSE,"LC","LC","orangespine unicornfish","fish","aldabra_atoll","Animalia"
278008,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso mcdadei",FALSE,1,NA,NA,NA,"",TRUE,FALSE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219670,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso thynnoides",FALSE,1,1744,3,NA,"16S",TRUE,TRUE,TRUE,"LC","LC","oneknife unicornfish","fish","aldabra_atoll","Animalia"
219675,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso tuberosus",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"DD","DD","humpnose unicornfish","fish","aldabra_atoll","Animalia"
219668,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso unicornis",FALSE,24,26978,15,2021,"12S;16S;COI",TRUE,TRUE,TRUE,"LC","LC","bluespine unicornfish","fish","aldabra_atoll","Animalia"
219672,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","Naso vlamingii",FALSE,7,311,2,NA,"12S",TRUE,TRUE,TRUE,"LC","LC","bignose unicornfish","fish","aldabra_atoll","Animalia"
219676,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Paracanthurus","Paracanthurus hepatus",FALSE,8,NA,NA,1967,"",TRUE,TRUE,FALSE,"LC","LC","palette surgeonfish","fish","aldabra_atoll","Animalia"
218711,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax orbicularis",FALSE,27,16056,15,2021,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","circular spadefish","fish","aldabra_atoll","Animalia"
218710,"Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","Platax teira",FALSE,7,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","longfin baitfish","fish","aldabra_atoll","Animalia"
220004,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus annularis",FALSE,1,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","bluering angelfish","fish","aldabra_atoll","Animalia"
220006,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus chrysurus",FALSE,4,NA,NA,1967,"",TRUE,TRUE,FALSE,"LC","LC","earspot angelfish","fish","aldabra_atoll","Animalia"
220001,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus imperator",FALSE,71,4461,6,2021,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","emperor angelfish","fish","aldabra_atoll","Animalia"
220003,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","Pomacanthus semicirculatus",FALSE,7,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","semicircle angelfish","fish","aldabra_atoll","Animalia"
211773,"Chordata","Teleostei","Acanthuriformes","Pomacanthidae","Pygoplites","Pygoplites diacanthus",FALSE,23,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","royal angelfish","fish","aldabra_atoll","Animalia"
219686,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus argenteus",FALSE,7,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","forktail rabbitfish","fish","aldabra_atoll","Animalia"
219687,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus canaliculatus",FALSE,3,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","white-spotted spinefoot","fish","aldabra_atoll","Animalia"
219690,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus corallinus",FALSE,2,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","blue-spotted spinefoot","fish","aldabra_atoll","Animalia"
127044,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus luridus",FALSE,2,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","squaretail rabbitfish","fish","aldabra_atoll","Animalia"
219692,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus stellatus",FALSE,26,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","stellate rabbitfish","fish","aldabra_atoll","Animalia"
219688,"Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","Siganus sutor",FALSE,2,NA,NA,NA,"",TRUE,TRUE,FALSE,"LC","LC","shoemaker spinefoot","fish","aldabra_atoll","Animalia"
220083,"Chordata","Teleostei","Acanthuriformes","Zanclidae","Zanclus","Zanclus cornutus",FALSE,160,20928,13,2021,"12S;16S",TRUE,TRUE,TRUE,"LC","LC","Moorish idol","fish","aldabra_atoll","Animalia"
277555,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma desjardinii",FALSE,35,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
219679,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma scopas",FALSE,43,NA,NA,2021,"",TRUE,TRUE,FALSE,"LC","LC","twotone tang","fish","aldabra_atoll","Animalia"
712902,"Chordata","Teleostei","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma velifer",FALSE,3,723,4,1967,"12S",TRUE,TRUE,TRUE,"","","","fish","aldabra_atoll","Animalia"
219164,"Chordata","Teleostei","Acropomatiformes","Creediidae","Limnichthys","Limnichthys nitidus",FALSE,3,NA,NA,1964,"",TRUE,TRUE,FALSE,"LC","LC","","fish","aldabra_atoll","Animalia"
218704,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris adusta",FALSE,NA,1879,2,NA,"16S",FALSE,FALSE,TRUE,"","","","fish","aldabra_atoll","Animalia"
218700,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris oualensis",FALSE,2,NA,NA,NA,"",TRUE,TRUE,FALSE,"","","silver sweeper","fish","aldabra_atoll","Animalia"
218699,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris schwenkii",FALSE,NA,578,3,NA,"12S",FALSE,FALSE,TRUE,"","","","fish","aldabra_atoll","Animalia"
1007132,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris tominagai",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"","","","fish","aldabra_atoll","Animalia"
218701,"Chordata","Teleostei","Acropomatiformes","Pempheridae","Pempheris","Pempheris vanicolensis",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"","","Vanikoro sweeper","fish","aldabra_atoll","Animalia"
212255,"Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula glossodonta",FALSE,NA,783133,64,NA,"12S;16S",FALSE,FALSE,TRUE,"VU","VU","roundjaw bonefish","fish","aldabra_atoll","Animalia"
212256,"Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula vulpes",FALSE,2,NA,NA,2013,"",TRUE,TRUE,FALSE,"NT","NT","bonefish","fish","aldabra_atoll","Animalia"
217465,"Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias seychellensis",FALSE,3,29,1,1967,"COI",TRUE,TRUE,TRUE,"LC","LC","Seychelles moray","fish","aldabra_atoll","Animalia"
