"AphiaID","phylum","class","order","family","genus","species","remove","records","reads","asvs","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group","site","kingdom"
217352,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus albimarginatus",FALSE,8,NA,NA,2021,"",TRUE,TRUE,FALSE,"VU","VU","silvertip shark","fish","aldabra_atoll","Animalia"
217337,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus amblyrhynchos",FALSE,50,1066,3,2021,"12S;16S",TRUE,TRUE,TRUE,"EN","EN","grey reef shark","fish","aldabra_atoll","Animalia"
105792,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus leucas",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"VU","VU","bull shark, requin-bouledogue","fish","aldabra_atoll","Animalia"
105793,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus limbatus",FALSE,1,NA,NA,NA,"",TRUE,FALSE,FALSE,"VU","VU","blacktip shark","fish","aldabra_atoll","Animalia"
105795,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus melanopterus",FALSE,46,135588,17,2013,"12S;16S;COI",TRUE,TRUE,TRUE,"VU","VU","blacktip reef shark","fish","aldabra_atoll","Animalia"
217356,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Negaprion","Negaprion acutidens",FALSE,25,7039,5,2013,"12S;16S",TRUE,TRUE,TRUE,"EN","EN","sicklefin lemon shark","fish","aldabra_atoll","Animalia"
105805,"Chordata","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Pseudotriakis","Pseudotriakis microdon",FALSE,2,NA,NA,1868,"",TRUE,FALSE,FALSE,"LC","LC","false cat shark","fish","aldabra_atoll","Animalia"
105816,"Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini",FALSE,1,259,2,NA,"12S",TRUE,FALSE,TRUE,"CR","CR","scalloped hammerhead","fish","aldabra_atoll","Animalia"
214557,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon","Triaenodon obesus",FALSE,3,NA,NA,2021,"",TRUE,TRUE,FALSE,"VU","VU","whitetip reef shark","fish","aldabra_atoll","Animalia"
217426,"Chordata","Elasmobranchii","Myliobatiformes","Aetobatidae","Aetobatus","Aetobatus narinari",FALSE,NA,8674,7,NA,"12S;16S",FALSE,FALSE,TRUE,"EN","EN","spotted eagle ray","fish","aldabra_atoll","Animalia"
217426,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus narinari",FALSE,3,NA,NA,2021,"",TRUE,TRUE,FALSE,"EN","EN","spotted eagle ray","fish","aldabra_atoll","Animalia"
278243,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus ocellatus",FALSE,1,NA,NA,NA,"",TRUE,TRUE,FALSE,"VU","VU","","fish","aldabra_atoll","Animalia"
217427,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Aetomylaeus","Aetomylaeus vespertilio",FALSE,4,NA,NA,NA,"",TRUE,TRUE,FALSE,"EN","EN","ornate eagle ray","fish","aldabra_atoll","Animalia"
1018707,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia lata",FALSE,1,NA,NA,NA,"",TRUE,FALSE,FALSE,"VU","VU","","fish","aldabra_atoll","Animalia"
398328,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura leoparda",FALSE,NA,3,1,NA,"COI",FALSE,FALSE,TRUE,"VU","VU","","fish","aldabra_atoll","Animalia"
105854,"Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Himantura","Himantura uarnak",FALSE,NA,984,4,NA,"12S",FALSE,FALSE,TRUE,"EN","EN","honeycomb stingray","fish","aldabra_atoll","Animalia"
1026118,"Chordata","Elasmobranchii","Myliobatiformes","Mobulidae","Mobula","Mobula birostris",FALSE,NA,343,3,NA,"12S",FALSE,FALSE,TRUE,"EN","EN","","fish","aldabra_atoll","Animalia"
1026118,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula birostris",FALSE,2,NA,NA,NA,"",TRUE,TRUE,FALSE,"EN","EN","","fish","aldabra_atoll","Animalia"
217436,"Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula kuhlii",FALSE,4,NA,NA,NA,"",TRUE,TRUE,FALSE,"EN","EN","","fish","aldabra_atoll","Animalia"
